#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-11-24 23:29:41.986

Time (s),Channel 2 (V)
3.371e-05,-3.489732707726095
3.372e-05,-3.489710113753296
3.373e-05,-3.489842144436324
3.374e-05,-3.489790684455253
3.375e-05,-3.489705226048561
3.376e-05,-3.489817580763473
3.377e-05,-3.489751359379939
3.378e-05,-3.48961335748908
3.379e-05,-3.489750925039856
3.38e-05,-3.489780077091262
3.381e-05,-3.489640465855317
3.382e-05,-3.489718279952169
3.383e-05,-3.489854636273449
3.384e-05,-3.489794662675091
3.385e-05,-3.489604119333665
3.386e-05,-3.489700120936628
3.387e-05,-3.489800265685062
3.388e-05,-3.489732437793389
3.389e-05,-3.489736233576989
3.39e-05,-3.489695950558812
3.391e-05,-3.489762886971935
3.392e-05,-3.489802225210659
3.393e-05,-3.48977770836194
3.394e-05,-3.489860622376884
3.395e-05,-3.489953112213851
3.396e-05,-3.490025222778754
3.397e-05,-3.489918817936602
3.398e-05,-3.489861481360973
3.399e-05,-3.489875718310821
3.4e-05,-3.489778197529627
3.401e-05,-3.489780191353145
3.402e-05,-3.489876468462786
3.403e-05,-3.489859999960247
3.404e-05,-3.489839318376374
3.405e-05,-3.489797091761872
3.406e-05,-3.489819179184559
3.407e-05,-3.489659432354654
3.408e-05,-3.489674641096585
3.409e-05,-3.489790688392182
3.41e-05,-3.489817385018442
3.411e-05,-3.489751249880898
3.412e-05,-3.489710618375974
3.413e-05,-3.489803439422567
3.414e-05,-3.489866290402434
3.415e-05,-3.489788968258809
3.416e-05,-3.489817514649997
3.417e-05,-3.489937024411069
3.418e-05,-3.48985135684889
3.419e-05,-3.489916290173789
3.42e-05,-3.490066177171677
3.421e-05,-3.489742633152241
3.422e-05,-3.489609654623815
3.423e-05,-3.489863456647517
3.424e-05,-3.489868696429073
3.425e-05,-3.489761779999432
3.426e-05,-3.489828194712343
3.427e-05,-3.489799794665798
3.428e-05,-3.489764628206148
3.429e-05,-3.48980850684416
3.43e-05,-3.48990153581759
3.431e-05,-3.48995333020193
3.432e-05,-3.489883128842605
3.433e-05,-3.489694327141732
3.434e-05,-3.48977469641397
3.435e-05,-3.49004900604419
